"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02196V02652","State","UNIT","VALUE"
"NAQ03C01","GVA at Constant Basic Prices","19951","1995Q1","-","State","Euro Million","23017"
"NAQ03C01","GVA at Constant Basic Prices","19952","1995Q2","-","State","Euro Million","23883"
"NAQ03C01","GVA at Constant Basic Prices","19953","1995Q3","-","State","Euro Million","24365"
"NAQ03C01","GVA at Constant Basic Prices","19954","1995Q4","-","State","Euro Million","24163"
"NAQ03C01","GVA at Constant Basic Prices","19961","1996Q1","-","State","Euro Million","24862"
"NAQ03C01","GVA at Constant Basic Prices","19962","1996Q2","-","State","Euro Million","25980"
"NAQ03C01","GVA at Constant Basic Prices","19963","1996Q3","-","State","Euro Million","25712"
"NAQ03C01","GVA at Constant Basic Prices","19964","1996Q4","-","State","Euro Million","25654"
"NAQ03C01","GVA at Constant Basic Prices","19971","1997Q1","-","State","Euro Million","26665"
"NAQ03C01","GVA at Constant Basic Prices","19972","1997Q2","-","State","Euro Million","28472"
"NAQ03C01","GVA at Constant Basic Prices","19973","1997Q3","-","State","Euro Million","28544"
"NAQ03C01","GVA at Constant Basic Prices","19974","1997Q4","-","State","Euro Million","29136"
"NAQ03C01","GVA at Constant Basic Prices","19981","1998Q1","-","State","Euro Million","29330"
"NAQ03C01","GVA at Constant Basic Prices","19982","1998Q2","-","State","Euro Million","30510"
"NAQ03C01","GVA at Constant Basic Prices","19983","1998Q3","-","State","Euro Million","31471"
"NAQ03C01","GVA at Constant Basic Prices","19984","1998Q4","-","State","Euro Million","30700"
"NAQ03C01","GVA at Constant Basic Prices","19991","1999Q1","-","State","Euro Million","32000"
"NAQ03C01","GVA at Constant Basic Prices","19992","1999Q2","-","State","Euro Million","32509"
"NAQ03C01","GVA at Constant Basic Prices","19993","1999Q3","-","State","Euro Million","34280"
"NAQ03C01","GVA at Constant Basic Prices","19994","1999Q4","-","State","Euro Million","35199"
"NAQ03C01","GVA at Constant Basic Prices","20001","2000Q1","-","State","Euro Million","34277"
"NAQ03C01","GVA at Constant Basic Prices","20002","2000Q2","-","State","Euro Million","36455"
"NAQ03C01","GVA at Constant Basic Prices","20003","2000Q3","-","State","Euro Million","36731"
"NAQ03C01","GVA at Constant Basic Prices","20004","2000Q4","-","State","Euro Million","38710"
"NAQ03C01","GVA at Constant Basic Prices","20011","2001Q1","-","State","Euro Million","37189"
"NAQ03C01","GVA at Constant Basic Prices","20012","2001Q2","-","State","Euro Million","39167"
"NAQ03C01","GVA at Constant Basic Prices","20013","2001Q3","-","State","Euro Million","38288"
"NAQ03C01","GVA at Constant Basic Prices","20014","2001Q4","-","State","Euro Million","40346"
"NAQ03C01","GVA at Constant Basic Prices","20021","2002Q1","-","State","Euro Million","39428"
"NAQ03C01","GVA at Constant Basic Prices","20022","2002Q2","-","State","Euro Million","41425"
"NAQ03C01","GVA at Constant Basic Prices","20023","2002Q3","-","State","Euro Million","40651"
"NAQ03C01","GVA at Constant Basic Prices","20024","2002Q4","-","State","Euro Million","43159"
"NAQ03C01","GVA at Constant Basic Prices","20031","2003Q1","-","State","Euro Million","40139"
"NAQ03C01","GVA at Constant Basic Prices","20032","2003Q2","-","State","Euro Million","42578"
"NAQ03C01","GVA at Constant Basic Prices","20033","2003Q3","-","State","Euro Million","40706"
"NAQ03C01","GVA at Constant Basic Prices","20034","2003Q4","-","State","Euro Million","45569"
"NAQ03C01","GVA at Constant Basic Prices","20041","2004Q1","-","State","Euro Million","43113"
"NAQ03C01","GVA at Constant Basic Prices","20042","2004Q2","-","State","Euro Million","46046"
"NAQ03C01","GVA at Constant Basic Prices","20043","2004Q3","-","State","Euro Million","43389"
"NAQ03C01","GVA at Constant Basic Prices","20044","2004Q4","-","State","Euro Million","47146"
"NAQ03C01","GVA at Constant Basic Prices","20051","2005Q1","-","State","Euro Million","45148"
"NAQ03C01","GVA at Constant Basic Prices","20052","2005Q2","-","State","Euro Million","48288"
"NAQ03C01","GVA at Constant Basic Prices","20053","2005Q3","-","State","Euro Million","45111"
"NAQ03C01","GVA at Constant Basic Prices","20054","2005Q4","-","State","Euro Million","49636"
"NAQ03C01","GVA at Constant Basic Prices","20061","2006Q1","-","State","Euro Million","47527"
"NAQ03C01","GVA at Constant Basic Prices","20062","2006Q2","-","State","Euro Million","49771"
"NAQ03C01","GVA at Constant Basic Prices","20063","2006Q3","-","State","Euro Million","48205"
"NAQ03C01","GVA at Constant Basic Prices","20064","2006Q4","-","State","Euro Million","50475"
"NAQ03C01","GVA at Constant Basic Prices","20071","2007Q1","-","State","Euro Million","51614"
"NAQ03C01","GVA at Constant Basic Prices","20072","2007Q2","-","State","Euro Million","52895"
"NAQ03C01","GVA at Constant Basic Prices","20073","2007Q3","-","State","Euro Million","50115"
"NAQ03C01","GVA at Constant Basic Prices","20074","2007Q4","-","State","Euro Million","53844"
"NAQ03C01","GVA at Constant Basic Prices","20081","2008Q1","-","State","Euro Million","51211"
"NAQ03C01","GVA at Constant Basic Prices","20082","2008Q2","-","State","Euro Million","52078"
"NAQ03C01","GVA at Constant Basic Prices","20083","2008Q3","-","State","Euro Million","50487"
"NAQ03C01","GVA at Constant Basic Prices","20084","2008Q4","-","State","Euro Million","49230"
"NAQ03C01","GVA at Constant Basic Prices","20091","2009Q1","-","State","Euro Million","48981"
"NAQ03C01","GVA at Constant Basic Prices","20092","2009Q2","-","State","Euro Million","50308"
"NAQ03C01","GVA at Constant Basic Prices","20093","2009Q3","-","State","Euro Million","48206"
"NAQ03C01","GVA at Constant Basic Prices","20094","2009Q4","-","State","Euro Million","48049"
"NAQ03C01","GVA at Constant Basic Prices","20101","2010Q1","-","State","Euro Million","48798"
"NAQ03C01","GVA at Constant Basic Prices","20102","2010Q2","-","State","Euro Million","50782"
"NAQ03C01","GVA at Constant Basic Prices","20103","2010Q3","-","State","Euro Million","49472"
"NAQ03C01","GVA at Constant Basic Prices","20104","2010Q4","-","State","Euro Million","49992"
"NAQ03C01","GVA at Constant Basic Prices","20111","2011Q1","-","State","Euro Million","49939"
"NAQ03C01","GVA at Constant Basic Prices","20112","2011Q2","-","State","Euro Million","52589"
"NAQ03C01","GVA at Constant Basic Prices","20113","2011Q3","-","State","Euro Million","50506"
"NAQ03C01","GVA at Constant Basic Prices","20114","2011Q4","-","State","Euro Million","50543"
"NAQ03C01","GVA at Constant Basic Prices","20121","2012Q1","-","State","Euro Million","48891"
"NAQ03C01","GVA at Constant Basic Prices","20122","2012Q2","-","State","Euro Million","52674"
"NAQ03C01","GVA at Constant Basic Prices","20123","2012Q3","-","State","Euro Million","49855"
"NAQ03C01","GVA at Constant Basic Prices","20124","2012Q4","-","State","Euro Million","51134"
"NAQ03C01","GVA at Constant Basic Prices","20131","2013Q1","-","State","Euro Million","48351"
"NAQ03C01","GVA at Constant Basic Prices","20132","2013Q2","-","State","Euro Million","52141"
"NAQ03C01","GVA at Constant Basic Prices","20133","2013Q3","-","State","Euro Million","52946"
"NAQ03C01","GVA at Constant Basic Prices","20134","2013Q4","-","State","Euro Million","53192"
"NAQ03C01","GVA at Constant Basic Prices","20141","2014Q1","-","State","Euro Million","53589"
"NAQ03C01","GVA at Constant Basic Prices","20142","2014Q2","-","State","Euro Million","56519"
"NAQ03C01","GVA at Constant Basic Prices","20143","2014Q3","-","State","Euro Million","57533"
"NAQ03C01","GVA at Constant Basic Prices","20144","2014Q4","-","State","Euro Million","58142"
"NAQ03C01","GVA at Constant Basic Prices","20151","2015Q1","-","State","Euro Million","69946"
"NAQ03C01","GVA at Constant Basic Prices","20152","2015Q2","-","State","Euro Million","69124"
"NAQ03C01","GVA at Constant Basic Prices","20153","2015Q3","-","State","Euro Million","72033"
"NAQ03C01","GVA at Constant Basic Prices","20154","2015Q4","-","State","Euro Million","74016"
"NAQ03C01","GVA at Constant Basic Prices","20161","2016Q1","-","State","Euro Million","67737"
"NAQ03C01","GVA at Constant Basic Prices","20162","2016Q2","-","State","Euro Million","69080"
"NAQ03C01","GVA at Constant Basic Prices","20163","2016Q3","-","State","Euro Million","70476"
"NAQ03C01","GVA at Constant Basic Prices","20164","2016Q4","-","State","Euro Million","80232"
"NAQ03C01","GVA at Constant Basic Prices","20171","2017Q1","-","State","Euro Million","73440"
"NAQ03C01","GVA at Constant Basic Prices","20172","2017Q2","-","State","Euro Million","75856"
"NAQ03C01","GVA at Constant Basic Prices","20173","2017Q3","-","State","Euro Million","81851"
"NAQ03C01","GVA at Constant Basic Prices","20174","2017Q4","-","State","Euro Million","86679"
"NAQ03C01","GVA at Constant Basic Prices","20181","2018Q1","-","State","Euro Million","81927"
"NAQ03C01","GVA at Constant Basic Prices","20182","2018Q2","-","State","Euro Million","84833"
"NAQ03C01","GVA at Constant Basic Prices","20183","2018Q3","-","State","Euro Million","86899"
"NAQ03C01","GVA at Constant Basic Prices","20184","2018Q4","-","State","Euro Million","89266"
"NAQ03C01","GVA at Constant Basic Prices","20191","2019Q1","-","State","Euro Million","84831"
"NAQ03C01","GVA at Constant Basic Prices","20192","2019Q2","-","State","Euro Million","88122"
"NAQ03C01","GVA at Constant Basic Prices","20193","2019Q3","-","State","Euro Million","92300"
"NAQ03C01","GVA at Constant Basic Prices","20194","2019Q4","-","State","Euro Million","94462"
"NAQ03C01","GVA at Constant Basic Prices","20201","2020Q1","-","State","Euro Million","94713"
"NAQ03C01","GVA at Constant Basic Prices","20202","2020Q2","-","State","Euro Million","91311"
"NAQ03C01","GVA at Constant Basic Prices","20203","2020Q3","-","State","Euro Million","104358"
"NAQ03C01","GVA at Constant Basic Prices","20204","2020Q4","-","State","Euro Million","100369"
"NAQ03C01","GVA at Constant Basic Prices","20211","2021Q1","-","State","Euro Million","106760"
"NAQ03C01","GVA at Constant Basic Prices","20212","2021Q2","-","State","Euro Million","112086"
"NAQ03C01","GVA at Constant Basic Prices","20213","2021Q3","-","State","Euro Million","118610"
"NAQ03C01","GVA at Constant Basic Prices","20214","2021Q4","-","State","Euro Million","115621"
"NAQ03C01","GVA at Constant Basic Prices","20221","2022Q1","-","State","Euro Million","115065"
"NAQ03C01","GVA at Constant Basic Prices","20222","2022Q2","-","State","Euro Million","121954"
"NAQ03C01","GVA at Constant Basic Prices","20223","2022Q3","-","State","Euro Million","130149"
"NAQ03C01","GVA at Constant Basic Prices","20224","2022Q4","-","State","Euro Million","127215"
"NAQ03C01","GVA at Constant Basic Prices","20231","2023Q1","-","State","Euro Million","115219"
"NAQ03C01","GVA at Constant Basic Prices","20232","2023Q2","-","State","Euro Million","117145"
"NAQ03C01","GVA at Constant Basic Prices","20233","2023Q3","-","State","Euro Million","118976"
"NAQ03C01","GVA at Constant Basic Prices","20234","2023Q4","-","State","Euro Million","114736"
"NAQ03C01","GVA at Constant Basic Prices","20241","2024Q1","-","State","Euro Million","108784"
"NAQ03C01","GVA at Constant Basic Prices","20242","2024Q2","-","State","Euro Million","112998"
"NAQ03C01","GVA at Constant Basic Prices","20243","2024Q3","-","State","Euro Million","122263"
"NAQ03C02","Taxes on Products","19951","1995Q1","-","State","Euro Million","2659"
"NAQ03C02","Taxes on Products","19952","1995Q2","-","State","Euro Million","2849"
"NAQ03C02","Taxes on Products","19953","1995Q3","-","State","Euro Million","2941"
"NAQ03C02","Taxes on Products","19954","1995Q4","-","State","Euro Million","3058"
"NAQ03C02","Taxes on Products","19961","1996Q1","-","State","Euro Million","2958"
