"Statistic Label","Quarter","NACE Rev. 2 Sector","UNIT","VALUE"
"Hirings","2020Q2","All NACE economic sectors","Thousand","152784"
"Hirings","2020Q2","Not stated","Thousand","76"
"Hirings","2020Q2","Agriculture, forestry and fishing (A)","Thousand","4345"
"Hirings","2020Q2","Industry (B to E)","Thousand","14964"
"Hirings","2020Q2","Construction (F)","Thousand","14925"
"Hirings","2020Q2","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","26425"
"Hirings","2020Q2","Transportation and storage (H)","Thousand","5485"
"Hirings","2020Q2","Accommodation and food service activities (I)","Thousand","6470"
"Hirings","2020Q2","Information and communication (J)","Thousand","6459"
"Hirings","2020Q2","Financial, insurance and real estate activities (K, L)","Thousand","6069"
"Hirings","2020Q2","Professional, scientific and technical activities (M)","Thousand","10937"
"Hirings","2020Q2","Administrative and support service activities (N)","Thousand","18695"
"Hirings","2020Q2","Public administration and defence; compulsory social security (O)","Thousand","6548"
"Hirings","2020Q2","Education (P)","Thousand","12006"
"Hirings","2020Q2","Human health and social work activities (Q)","Thousand","15958"
"Hirings","2020Q2","Arts, entertainment, recreation and other service activities (R,S)","Thousand","3375"
"Hirings","2020Q2","Services (T, U)","Thousand","47"
"Hirings","2020Q3","All NACE economic sectors","Thousand","367635"
"Hirings","2020Q3","Not stated","Thousand","394"
"Hirings","2020Q3","Agriculture, forestry and fishing (A)","Thousand","4181"
"Hirings","2020Q3","Industry (B to E)","Thousand","21318"
"Hirings","2020Q3","Construction (F)","Thousand","21193"
"Hirings","2020Q3","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","47432"
"Hirings","2020Q3","Transportation and storage (H)","Thousand","10158"
"Hirings","2020Q3","Accommodation and food service activities (I)","Thousand","100739"
"Hirings","2020Q3","Information and communication (J)","Thousand","10370"
"Hirings","2020Q3","Financial, insurance and real estate activities (K, L)","Thousand","10514"
"Hirings","2020Q3","Professional, scientific and technical activities (M)","Thousand","15522"
"Hirings","2020Q3","Administrative and support service activities (N)","Thousand","30494"
"Hirings","2020Q3","Public administration and defence; compulsory social security (O)","Thousand","8345"
"Hirings","2020Q3","Education (P)","Thousand","24745"
"Hirings","2020Q3","Human health and social work activities (Q)","Thousand","29269"
"Hirings","2020Q3","Arts, entertainment, recreation and other service activities (R,S)","Thousand","32802"
"Hirings","2020Q3","Services (T, U)","Thousand","159"
"Hirings","2020Q4","All NACE economic sectors","Thousand","258743"
"Hirings","2020Q4","Not stated","Thousand","127"
"Hirings","2020Q4","Agriculture, forestry and fishing (A)","Thousand","3089"
"Hirings","2020Q4","Industry (B to E)","Thousand","16558"
"Hirings","2020Q4","Construction (F)","Thousand","12844"
"Hirings","2020Q4","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","47101"
"Hirings","2020Q4","Transportation and storage (H)","Thousand","7691"
"Hirings","2020Q4","Accommodation and food service activities (I)","Thousand","23919"
"Hirings","2020Q4","Information and communication (J)","Thousand","10061"
"Hirings","2020Q4","Financial, insurance and real estate activities (K, L)","Thousand","10880"
"Hirings","2020Q4","Professional, scientific and technical activities (M)","Thousand","13271"
"Hirings","2020Q4","Administrative and support service activities (N)","Thousand","31461"
"Hirings","2020Q4","Public administration and defence; compulsory social security (O)","Thousand","10904"
"Hirings","2020Q4","Education (P)","Thousand","38063"
"Hirings","2020Q4","Human health and social work activities (Q)","Thousand","24592"
"Hirings","2020Q4","Arts, entertainment, recreation and other service activities (R,S)","Thousand","8102"
"Hirings","2020Q4","Services (T, U)","Thousand","80"
"Hirings","2021Q1","All NACE economic sectors","Thousand","211010"
"Hirings","2021Q1","Not stated","Thousand","443"
"Hirings","2021Q1","Agriculture, forestry and fishing (A)","Thousand","5031"
"Hirings","2021Q1","Industry (B to E)","Thousand","15104"
"Hirings","2021Q1","Construction (F)","Thousand","11179"
"Hirings","2021Q1","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Thousand","44125"
"Hirings","2021Q1","Transportation and storage (H)","Thousand","8101"
"Hirings","2021Q1","Accommodation and food service activities (I)","Thousand","12001"
