"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02665V03225","Economic Sector NACE Rev 2","C02511V03040","Private or Public Sector","UNIT","VALUE"
"EHQ16C01","Employment","20081","2008Q1","-","All NACE economic sectors","01","Private sector","Number","1350200"
"EHQ16C01","Employment","20081","2008Q1","-","All NACE economic sectors","02","Public sector","Number","417000"
"EHQ16C01","Employment","20081","2008Q1","-","All NACE economic sectors","-","All sectors","Number","1767200"
"EHQ16C01","Employment","20081","2008Q1","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","F","Construction (F)","-","All sectors","Number","146700"
"EHQ16C01","Employment","20081","2008Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","319000"
"EHQ16C01","Employment","20081","2008Q1","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","H","Transportation and storage (H)","-","All sectors","Number","69800"
"EHQ16C01","Employment","20081","2008Q1","I","Accommodation and food service activities (I)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","I","Accommodation and food service activities (I)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","I","Accommodation and food service activities (I)","-","All sectors","Number","152700"
"EHQ16C01","Employment","20081","2008Q1","J","Information and communication (J)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","J","Information and communication (J)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","J","Information and communication (J)","-","All sectors","Number","64800"
"EHQ16C01","Employment","20081","2008Q1","M","Professional, scientific and technical activities (M)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","M","Professional, scientific and technical activities (M)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","M","Professional, scientific and technical activities (M)","-","All sectors","Number","81600"
"EHQ16C01","Employment","20081","2008Q1","N","Administrative and support service activities (N)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","N","Administrative and support service activities (N)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","N","Administrative and support service activities (N)","-","All sectors","Number","88700"
"EHQ16C01","Employment","20081","2008Q1","O","Public administration and defence; compulsory social security (O)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","O","Public administration and defence; compulsory social security (O)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","O","Public administration and defence; compulsory social security (O)","-","All sectors","Number","118500"
"EHQ16C01","Employment","20081","2008Q1","P","Education (P)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","P","Education (P)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","P","Education (P)","-","All sectors","Number","133600"
"EHQ16C01","Employment","20081","2008Q1","Q","Human health and social work activities (Q)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Q","Human health and social work activities (Q)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Q","Human health and social work activities (Q)","-","All sectors","Number","206000"
"EHQ16C01","Employment","20081","2008Q1","Y0900","Industry (B to E)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y0900","Industry (B to E)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y0900","Industry (B to E)","-","All sectors","Number","234500"
"EHQ16C01","Employment","20081","2008Q1","Y3500","Financial, insurance and real estate activities (K,L)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y3500","Financial, insurance and real estate activities (K,L)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y3500","Financial, insurance and real estate activities (K,L)","-","All sectors","Number","97500"
"EHQ16C01","Employment","20081","2008Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","01","Private sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","02","Public sector","Number",""
"EHQ16C01","Employment","20081","2008Q1","Y7400","Arts, entertainment, recreation and other service activities (R,S)","-","All sectors","Number","53800"
"EHQ16C01","Employment","20082","2008Q2","-","All NACE economic sectors","01","Private sector","Number","1354500"
"EHQ16C01","Employment","20082","2008Q2","-","All NACE economic sectors","02","Public sector","Number","421400"
"EHQ16C01","Employment","20082","2008Q2","-","All NACE economic sectors","-","All sectors","Number","1775900"
"EHQ16C01","Employment","20082","2008Q2","F","Construction (F)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","F","Construction (F)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","F","Construction (F)","-","All sectors","Number","144100"
"EHQ16C01","Employment","20082","2008Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","-","All sectors","Number","317600"
"EHQ16C01","Employment","20082","2008Q2","H","Transportation and storage (H)","01","Private sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","H","Transportation and storage (H)","02","Public sector","Number",""
"EHQ16C01","Employment","20082","2008Q2","H","Transportation and storage (H)","-","All sectors","Number","70000"
